Code,Occupation,National Shortage Rating,Victoria Shortage Rating,Skill Level
399111,Boat Builder and Repairer,Shortage,Shortage,3
451814,Body Artist,No shortage,No shortage,4
712911,Boiler or Engine Operator,No shortage,No shortage,4
212212,Book or Script Editor,No shortage,No shortage,1
551211,Bookkeeper,No shortage,No shortage,3
552311,Bookmaker,No shortage,No shortage,4
234515,Botanist,No shortage,No shortage,1
331111,Bricklayer,Shortage,Shortage,3
121711,Broadacre Crop and Livestock Farmer,No shortage,No shortage,1
121599,Broadacre Crop Growers nec,No shortage,No shortage,1
399511,Broadcast Transmitter Operator,No shortage,No shortage,3
312999,Building and Engineering Technicians nec,No shortage,No shortage,2
312112,Building Associate,No shortage,No shortage,2
312113,Building Inspector,Shortage,Shortage,2
821411,Building Insulation Installer,No shortage,No shortage,4
712912,Bulk Materials Handling Plant Operator,No shortage,No shortage,4
721213,Bulldozer Operator,Shortage,Shortage,4
452211,Bungy Jump Master,No shortage,No shortage,2
731211,Bus Driver,Shortage,Shortage,4
612111,Business Broker,No shortage,No shortage,3
342311,Business Machine Mechanic,No shortage,No shortage,3
351211,Butcher or Smallgoods Maker,Shortage,Shortage,3
394112,Cabinet Maker,Shortage,Shortage,3
342411,Cabler (Data and Telecommunications),Shortage,Shortage,3
141111,Cafe or Restaurant Manager,No shortage,No shortage,2
149211,Call or Contact Centre Manager,No shortage,No shortage,2
541112,Call or Contact Centre Operator,No shortage,No shortage,4
541111,Call or Contact Centre Team Leader,No shortage,No shortage,3
399512,"Camera Operator (Film, Television or Video)",No shortage,No shortage,3
393111,Canvas Goods Fabricator,No shortage,No shortage,3
141211,Caravan Park and Camping Ground Manager,No shortage,No shortage,2
311212,Cardiac Technician,No shortage,No shortage,2
253312,Cardiologist,Shortage,Shortage,1
253512,Cardiothoracic Surgeon,Shortage,Shortage,1
272111,Careers Counsellor,No shortage,No shortage,1
331212,Carpenter,Shortage,Shortage,3
331211,Carpenter and Joiner,Shortage,Shortage,3
811611,Carpet Cleaner,No shortage,No shortage,4
232213,Cartographer,No shortage,No shortage,1
842312,Cattle and Sheep Farm Worker,No shortage,No shortage,4
712913,Cement Production Plant Operator,No shortage,No shortage,4
731212,Charter and Tour Bus Driver,Shortage,Shortage,4
731111,Chauffeur,No shortage,No shortage,4
351311,Chef,Regional shortage,Regional shortage,2
233111,Chemical Engineer,No shortage,No shortage,1
399211,Chemical Plant Operator,No shortage,No shortage,3
711911,Chemical Production Machine Operator,No shortage,No shortage,4
234211,Chemist,No shortage,No shortage,1
311411,Chemistry Technician,No shortage,No shortage,2
111111,Chief Executive or Managing Director,No shortage,No shortage,1
135111,Chief Information Officer,No shortage,No shortage,1
134111,Child Care Centre Manager,No shortage,No shortage,1
421111,Child Care Worker,Shortage,Shortage,3
423411,Child or Youth Residential Care Assistant,No shortage,No shortage,3
252111,Chiropractor,Shortage,Shortage,1
149912,Cinema or Theatre Manager,No shortage,No shortage,2
451811,Civil Celebrant,No shortage,No shortage,3
233211,Civil Engineer,Shortage,Shortage,1
312211,Civil Engineering Draftsperson,Shortage,Shortage,2
312212,Civil Engineering Technician,Shortage,Shortage,2
711111,Clay Products Machine Operator,No shortage,No shortage,4
711199,"Clay, Concrete, Glass and Stone Processing Machine Operators nec",No shortage,No shortage,4
599999,Clerical and Administrative Workers nec,No shortage,No shortage,4
599211,Clerk of Court,No shortage,No shortage,3
599915,Clinical Coder,Shortage,Shortage,3
253313,Clinical Haematologist,Shortage,Shortage,1
272311,Clinical Psychologist,Shortage,Shortage,1
393212,Clothing Patternmaker,No shortage,No shortage,3
393299,Clothing Trades Workers nec,No shortage,No shortage,3
222111,Commodities Trader,No shortage,No shortage,2
342312,Communications Operator,No shortage,No shortage,3
272611,Community Arts Worker,No shortage,No shortage,1
411711,Community Worker,No shortage,No shortage,2
221211,Company Secretary,No shortage,No shortage,1
252299,Complementary Health Therapists nec,No shortage,No shortage,1
211211,Composer,No shortage,No shortage,1
263111,Computer Network and Systems Engineer,No shortage,No shortage,1
712914,Concrete Batching Plant Operator,No shortage,No shortage,4
711112,Concrete Products Machine Operator,No shortage,No shortage,4
712915,Concrete Pump Operator,No shortage,No shortage,4
149311,Conference and Event Organiser,No shortage,No shortage,2
234311,Conservation Officer,No shortage,No shortage,1
234911,Conservator,No shortage,No shortage,1
312114,Construction Estimator,Regional shortage,Regional shortage,2
133111,Construction Project Manager,Shortage,Shortage,1
821711,Construction Rigger,No shortage,No shortage,4
225114,Content Creator (Marketing),No shortage,No shortage,1
511111,Contract Administrator,No shortage,No shortage,2
599111,Conveyancer,Shortage,Shortage,2
351411,Cook,Shortage,Shortage,3
212411,Copywriter,No shortage,No shortage,1
111211,Corporate General Manager,No shortage,No shortage,1
132111,Corporate Services Manager,No shortage,No shortage,1
221212,Corporate Treasurer,No shortage,No shortage,1
551112,Cost Clerk,No shortage,No shortage,4
842211,Cotton Farm Worker,No shortage,No shortage,4
121511,Cotton Grower,No shortage,No shortage,1
272199,Counsellors nec,No shortage,No shortage,1
599212,Court Bailiff or Sheriff,No shortage,No shortage,3
599213,Court Orderly,No shortage,No shortage,3
821911,Crane Chaser,No shortage,No shortage,4
712111,"Crane, Hoist or Lift Operator",Shortage,Shortage,4
552211,Credit or Loans Officer,No shortage,No shortage,3
442213,Crowd Controller,No shortage,No shortage,4
149212,Customer Service Manager,No shortage,No shortage,2
599511,Customs Officer,No shortage,No shortage,4
262114,Cyber Governance Risk and Compliance Specialist,Shortage,Shortage,1
262115,Cyber Security Advice and Assessment Specialist,No shortage,No shortage,1
262116,Cyber Security Analyst,No shortage,No shortage,1
262117,Cyber Security Architect,Shortage,Shortage,1
261315,Cyber Security Engineer,Shortage,Shortage,1
262118,Cyber Security Operations Coordinator,Shortage,Shortage,1
842313,Dairy Cattle Farm Worker,No shortage,No shortage,4
121313,Dairy Cattle Farmer,No shortage,No shortage,1
249212,Dance Teacher (Private Tuition),No shortage,No shortage,1
211112,Dancer or Choreographer,No shortage,No shortage,1
224114,Data Analyst,No shortage,No shortage,1
532111,Data Entry Operator,No shortage,No shortage,4
224115,Data Scientist,No shortage,No shortage,1
262111,Database Administrator,No shortage,No shortage,1
599311,Debt Collector,No shortage,No shortage,4
899211,Deck Hand,Shortage,Shortage,4
121314,Deer Farmer,No shortage,No shortage,1
732111,Delivery Driver,No shortage,No shortage,4
423211,Dental Assistant,No shortage,No shortage,4
411211,Dental Hygienist,Shortage,Shortage,1
411212,Dental Prosthetist,Shortage,Shortage,2
252311,Dental Specialist,Shortage,Shortage,1
411213,Dental Technician,Shortage,Shortage,2
411214,Dental Therapist,Shortage,Shortage,1
252312,Dentist,Shortage,Shortage,1
253911,Dermatologist,Shortage,Shortage,1
591211,Despatching and Receiving Clerk,No shortage,No shortage,4
261312,Developer Programmer,No shortage,No shortage,1
261316,Devops Engineer,Shortage,Shortage,1
253917,Diagnostic and Interventional Radiologist,Shortage,Shortage,1
321212,Diesel Motor Mechanic,Shortage,Shortage,3
251111,Dietitian,No shortage,No shortage,1
225115,Digital Marketing Analyst,No shortage,No shortage,1
212312,"Director (Film, Television, Radio or Stage)",No shortage,No shortage,1
212313,Director of Photography,No shortage,No shortage,1
411712,Disabilities Services Officer,No shortage,No shortage,2
399911,Diver,No shortage,No shortage,3
411311,Diversional Therapist,No shortage,No shortage,3
452311,Diving Instructor (Open Water),No shortage,No shortage,3
452318,Dog and Horse Racing Official,No shortage,No shortage,3
361111,Dog Handler or Trainer,No shortage,No shortage,3
334113,Drainer,Shortage,Shortage,3
249213,Drama Teacher (Private Tuition),No shortage,No shortage,1
393213,Dressmaker or Tailor,No shortage,No shortage,3
712211,Driller,Shortage,Shortage,4
451211,Driving Instructor,No shortage,No shortage,3
272112,Drug and Alcohol Counsellor,No shortage,No shortage,1
241111,Early Childhood (Pre-primary School) Teacher,Shortage,Shortage,1
311412,Earth Science Technician,No shortage,No shortage,2
721211,Earthmoving Plant Operator (General),Regional shortage,Regional shortage,4
224311,Economist,No shortage,No shortage,1
249111,Education Adviser,No shortage,No shortage,1
134499,Education Managers nec,No shortage,No shortage,1
249112,Education Reviewer,No shortage,No shortage,1
272312,Educational Psychologist,Shortage,Shortage,1
224911,Electorate Officer,No shortage,No shortage,1
233311,Electrical Engineer,Shortage,No shortage,1
312311,Electrical Engineering Draftsperson,No shortage,No shortage,2
312312,Electrical Engineering Technician,Metro shortage,Metro shortage,2
342211,Electrical Linesworker / Electrical Line Mechanic,Shortage,Shortage,3
341111,Electrician (General),Shortage,Shortage,3
341112,Electrician (Special Class),Shortage,Shortage,3
312411,Electronic Engineering Draftsperson,No shortage,No shortage,2
312412,Electronic Engineering Technician,Shortage,Shortage,2
342313,Electronic Equipment Trades Worker,Regional shortage,Regional shortage,3
342314,Electronic Instrument Trades Worker (General),Shortage,Shortage,3
342315,Electronic Instrument Trades Worker (Special Class),Shortage,Shortage,3
233411,Electronics Engineer,No shortage,No shortage,1
322112,Electroplater,No shortage,No shortage,3
253912,Emergency Medicine Specialist,Shortage,Shortage,1
441211,Emergency Service Worker,No shortage,No shortage,3
253315,Endocrinologist,Shortage,Shortage,1
133211,Engineering Manager,No shortage,No shortage,1
323411,Engineering Patternmaker,Shortage,Shortage,3
712311,Engineering Production Worker,No shortage,No shortage,4
233999,Engineering Professionals nec,No shortage,No shortage,1
233914,Engineering Technologist,Shortage,Shortage,1
323311,Engraver,No shortage,No shortage,3
411411,Enrolled Nurse,Regional shortage,Regional shortage,2
211113,Entertainer or Variety Artist,No shortage,No shortage,1
234521,Entomologist,No shortage,No shortage,1
234312,Environmental Consultant,No shortage,No shortage,1
233915,Environmental Engineer,Shortage,Shortage,1
251311,Environmental Health Officer,Regional shortage,Regional shortage,1
139912,Environmental Manager,No shortage,No shortage,1
234313,Environmental Research Scientist,Shortage,Shortage,1
234399,Environmental Scientists nec,No shortage,No shortage,1
149915,Equipment Hire Manager,No shortage,No shortage,2
721214,Excavator Operator,Shortage,Shortage,4
234915,Exercise Physiologist,No shortage,No shortage,1
899413,Exhaust and Muffler Repairer,No shortage,No shortage,4
221213,External Auditor,Shortage,Shortage,1
599916,Facilities Administrator,No shortage,No shortage,4
149913,Facilities Manager,No shortage,No shortage,2
134411,Faculty Head,No shortage,No shortage,1
272113,Family and Marriage Counsellor,No shortage,No shortage,1
421112,Family Day Care Worker,No shortage,No shortage,4
411713,Family Support Worker,No shortage,No shortage,2
322113,Farrier,Shortage,Shortage,3
232311,Fashion Designer,No shortage,No shortage,1
821311,Fencer,No shortage,No shortage,4
212314,Film and Video Editor,Shortage,Shortage,1
212399,"Film, Television, Radio and Stage Directors nec",No shortage,No shortage,1
222112,Finance Broker,No shortage,No shortage,2
132211,Finance Manager,No shortage,No shortage,1
222199,Financial Brokers nec,No shortage,No shortage,2
222299,Financial Dealers nec,No shortage,No shortage,1
149914,Financial Institution Branch Manager,No shortage,No shortage,2
222311,Financial Investment Adviser,No shortage,No shortage,1
222312,Financial Investment Manager,No shortage,No shortage,1
222211,Financial Market Dealer,No shortage,No shortage,1
441212,Fire Fighter,No shortage,No shortage,3
399918,Fire Protection Equipment Technician,Regional shortage,Regional shortage,3
334117,Fire Protection Plumber,Shortage,Shortage,3
451815,First Aid Trainer,No shortage,No shortage,3
311311,Fisheries Officer,No shortage,No shortage,2
452212,Fishing Guide,No shortage,No shortage,3
899212,Fishing Hand,No shortage,No shortage,4
363112,Fishing Leading Hand,No shortage,No shortage,3
149112,Fitness Centre Manager,No shortage,No shortage,2
452111,Fitness Instructor,No shortage,No shortage,4
323211,Fitter (General),Shortage,Shortage,3
323212,Fitter and Turner,Shortage,Shortage,3
323213,Fitter-Welder,Shortage,Shortage,3
149411,Fleet Manager,No shortage,No shortage,2
451711,Flight Attendant,Regional shortage,Regional shortage,3
332111,Floor Finisher,Shortage,Shortage,3
362111,Florist,No shortage,No shortage,3
121611,Flower Grower,No shortage,No shortage,1
231113,Flying Instructor,Shortage,Shortage,1
234212,Food Technologist,No shortage,No shortage,1
711711,Footwear Production Machine Operator,No shortage,No shortage,4
234113,Forester / Forest Scientist,Shortage,Shortage,1
363113,Forestry Operations Supervisor,No shortage,No shortage,3
843111,Forestry Worker,No shortage,No shortage,4
721311,Forklift Driver,No shortage,No shortage,4
121612,Fruit Grower,No shortage,No shortage,1
451311,Funeral Director,No shortage,No shortage,2
451399,Funeral Workers nec,No shortage,No shortage,3
394211,Furniture Finisher,No shortage,No shortage,3
394113,Furniture Maker,Shortage,Shortage,3
733113,Furniture Removalist,No shortage,No shortage,4
222212,Futures Trader,No shortage,No shortage,1
224212,Gallery or Museum Curator,No shortage,No shortage,1
451411,Gallery or Museum Guide,No shortage,No shortage,4
399311,Gallery or Museum Technician,No shortage,No shortage,2
431311,Gaming Worker,No shortage,No shortage,4
362611,Gardener (General),No shortage,No shortage,3
399212,Gas or Petroleum Operator,No shortage,No shortage,3
334114,Gasfitter,Shortage,Shortage,3
253316,Gastroenterologist,Shortage,Shortage,1
531111,General Clerk,No shortage,No shortage,4
253111,General Practitioner,Shortage,Shortage,1
234411,Geologist,Shortage,No shortage,1
234412,Geophysicist,Shortage,Shortage,1
233212,Geotechnical Engineer,Shortage,Shortage,1
711113,Glass Production Machine Operator,No shortage,No shortage,4
333111,Glazier,Shortage,Shortage,3
121315,Goat Farmer,No shortage,No shortage,1
721215,Grader Operator,Shortage,Shortage,4
842214,"Grain, Oilseed, Pulse and Pasture Farm Worker",No shortage,No shortage,4
121512,"Grain, Oilseed, Pulse or Pasture Grower / Field Crop Grower",No shortage,No shortage,1
232411,Graphic Designer,No shortage,No shortage,1
392211,Graphic Pre-press Trades Worker,Shortage,Shortage,3
323312,Gunsmith,No shortage,No shortage,3
452312,Gymnastics Coach or Instructor,Shortage,Shortage,4
142114,Hair or Beauty Salon Manager,No shortage,No shortage,2
391111,Hairdresser,Shortage,Shortage,3
313111,Hardware Technician,No shortage,No shortage,2
134299,Health and Welfare Services Managers nec,No shortage,Regional shortage,1
251999,Health Diagnostic and Promotion Professionals nec,Shortage,Shortage,1
224213,Health Information Manager,No shortage,No shortage,1
512211,Health Practice Manager,No shortage,No shortage,2
251911,Health Promotion Officer,No shortage,No shortage,1
231114,Helicopter Pilot,Shortage,Shortage,1
451513,Herbalist (Western),No shortage,No shortage,4
711712,Hide and Skin Processing Machine Operator,No shortage,No shortage,4
272411,Historian,No shortage,No shortage,1
821412,Home Improvement Installer,No shortage,No shortage,4
252212,Homoeopath,No shortage,No shortage,1
121316,Horse Breeder,No shortage,No shortage,1
452313,Horse Riding Coach or Instructor,No shortage,No shortage,3
361112,Horse Trainer,Shortage,Shortage,3
121699,Horticultural Crop Growers nec,No shortage,No shortage,1
363114,Horticultural Supervisor or Specialist,No shortage,No shortage,3
423311,Hospital Orderly,No shortage,No shortage,4
251511,Hospital Pharmacist,Regional shortage,Regional shortage,1
149999,"Hospitality, Retail and Service Managers nec",No shortage,No shortage,2
423412,Hostel Parent,No shortage,No shortage,4
141311,Hotel or Motel Manager,No shortage,No shortage,2
542113,Hotel or Motel Receptionist,No shortage,No shortage,4
431411,Hotel Service Manager,No shortage,No shortage,2
223111,Human Resource Adviser,No shortage,No shortage,1
599411,Human Resource Clerk,No shortage,No shortage,4
132311,Human Resource Manager,No shortage,No shortage,1
452213,Hunting Guide,No shortage,No shortage,3
234413,Hydrogeologist,Shortage,Shortage,1
311415,Hydrographer,No shortage,No shortage,2
225211,ICT Account Manager,No shortage,No shortage,1
261111,ICT Business Analyst,No shortage,No shortage,1
225212,ICT Business Development Manager,No shortage,No shortage,1
313112,ICT Customer Support Officer,No shortage,No shortage,2
135199,ICT Managers nec,No shortage,No shortage,1
135112,ICT Project Manager,No shortage,No shortage,1
263211,ICT Quality Assurance Engineer,No shortage,No shortage,1
225213,ICT Sales Representative,No shortage,No shortage,1
263299,ICT Support and Test Engineers nec,No shortage,No shortage,1
263212,ICT Support Engineer,No shortage,No shortage,1
313199,ICT Support Technicians nec,No shortage,No shortage,2
263213,ICT Systems Test Engineer,No shortage,No shortage,1
232412,Illustrator,No shortage,No shortage,1
599512,Immigration Officer,No shortage,No shortage,4
591212,Import-Export Clerk,No shortage,No shortage,4
133311,Importer or Exporter,No shortage,No shortage,1
232312,Industrial Designer,No shortage,No shortage,1
233511,Industrial Engineer,No shortage,No shortage,1
251512,Industrial Pharmacist,No shortage,No shortage,1
711211,Industrial Spraypainter,Shortage,Shortage,4
224999,Information and Organisation Professionals nec,No shortage,No shortage,1
541211,Information Officer,No shortage,No shortage,4
599599,Inspectors and Regulatory Officers nec,No shortage,No shortage,4
611211,Insurance Agent,No shortage,No shortage,3
222113,Insurance Broker,No shortage,No shortage,2
552312,Insurance Consultant,No shortage,No shortage,4
599611,Insurance Investigator,No shortage,No shortage,3
599612,Insurance Loss Adjuster,No shortage,No shortage,3
599613,Insurance Risk Surveyor,No shortage,No shortage,2
422112,Integration Aide,No shortage,No shortage,4
271214,Intellectual Property Lawyer,No shortage,No shortage,1
224411,Intelligence Officer,No shortage,No shortage,1
411112,Intensive Care Ambulance Paramedic,Shortage,Shortage,1
253317,Intensive Care Specialist,Shortage,Shortage,1
399912,Interior Decorator,No shortage,No shortage,2
232511,Interior Designer,No shortage,No shortage,2
221214,Internal Auditor,No shortage,No shortage,1
272412,Interpreter,No shortage,No shortage,1
599514,"Invasive Pest, Weed and Disease Inspector",No shortage,No shortage,4
311115,Irrigation Designer,Shortage,Shortage,2
362712,Irrigation Technician,Shortage,Shortage,3
399411,Jeweller,Shortage,Shortage,3
232313,Jewellery Designer,No shortage,No shortage,1
452413,Jockey,No shortage,No shortage,3
331213,Joiner,Shortage,Shortage,3
212499,Journalists and Other Writers nec,No shortage,No shortage,1
271299,Judicial and Other Legal Professionals nec,No shortage,No shortage,1
361115,Kennel Hand,No shortage,No shortage,4
711713,Knitting Machine Operator,No shortage,No shortage,4
139913,Laboratory Manager,No shortage,No shortage,1
224511,Land Economist,No shortage,No shortage,1
232112,Landscape Architect,No shortage,No shortage,1
362711,Landscape Gardener,Shortage,Shortage,3
599214,Law Clerk,No shortage,No shortage,3
393112,Leather Goods Maker,No shortage,No shortage,3
599112,Legal Executive,No shortage,No shortage,2
521212,Legal Secretary,No shortage,No shortage,2
224912,Liaison Officer,No shortage,No shortage,1
224611,Librarian,No shortage,No shortage,1
599711,Library Assistant,No shortage,No shortage,4
399312,Library Technician,No shortage,No shortage,2
141411,Licensed Club Manager,No shortage,No shortage,2
311413,Life Science Technician,No shortage,No shortage,2
234511,Life Scientist (General),No shortage,No shortage,1
234599,Life Scientists nec,No shortage,No shortage,1
452414,Lifeguard,No shortage,No shortage,3
341113,Lift Mechanic,No shortage,No shortage,3
399513,Light Technician,Shortage,Shortage,3
721912,Linemarker,Shortage,Shortage,4
121399,Livestock Farmers nec,No shortage,No shortage,1
842314,Livestock Husbandry Worker,No shortage,No shortage,4
721216,Loader Operator,Shortage,Shortage,4
323313,Locksmith,Shortage,Shortage,3
843112,Logging Assistant,No shortage,No shortage,4
721112,Logging Plant Operator,No shortage,No shortage,4
711999,Machine Operators nec,No shortage,No shortage,4
532112,Machine Shorthand Reporter,No shortage,No shortage,4
312911,Maintenance Planner,No shortage,No shortage,2
399514,Make Up Artist,No shortage,No shortage,3
221112,Management Accountant,No shortage,No shortage,1
224713,Management Consultant,No shortage,No shortage,1
133411,Manufacturer,No shortage,No shortage,1
234516,Marine Biologist,No shortage,No shortage,1
231215,Marine Surveyor,No shortage,No shortage,2
231299,Marine Transport Professionals nec,No shortage,No shortage,2
225112,Market Research Analyst,No shortage,No shortage,1
225113,Marketing Specialist,No shortage,No shortage,1
411611,Massage Therapist,No shortage,No shortage,2
231211,Master Fisher,Shortage,Shortage,2
233112,Materials Engineer,No shortage,Shortage,1
224112,Mathematician,No shortage,No shortage,1
831211,Meat Boner and Slicer,No shortage,No shortage,4
311312,Meat Inspector,Shortage,Shortage,2
233512,Mechanical Engineer,No shortage,No shortage,1
312511,Mechanical Engineering Draftsperson,Shortage,Shortage,2
312512,Mechanical Engineering Technician,Shortage,Shortage,2
212112,Media Producer (excluding Video),No shortage,No shortage,1
134211,Medical Administrator / Medical Superintendent,No shortage,No shortage,1
251211,Medical Diagnostic Radiographer,Shortage,Shortage,1
234611,Medical Laboratory Scientist,No shortage,No shortage,1
311213,Medical Laboratory Technician,No shortage,No shortage,2
253314,Medical Oncologist,Shortage,Shortage,1
253999,Medical Practitioners nec,Shortage,Shortage,1
251212,Medical Radiation Therapist,Regional shortage,Regional shortage,1
542114,Medical Receptionist,No shortage,No shortage,4
311299,Medical Technicians nec,No shortage,No shortage,2
322114,Metal Casting Trades Worker,Shortage,Shortage,3
322311,Metal Fabricator,Shortage,Shortage,3
323299,Metal Fitters and Machinists nec,No shortage,No shortage,3
323214,Metal Machinist (First Class),Shortage,Shortage,3
322115,Metal Polisher,No shortage,No shortage,3
312912,Metallurgical or Materials Technician,Shortage,Shortage,2
234912,Metallurgist,Shortage,Shortage,1
234913,Meteorologist,No shortage,No shortage,1
234517,Microbiologist,No shortage,No shortage,1
241311,Middle School Teacher / Intermediate School Teacher,Shortage,Shortage,1
254111,Midwife,Shortage,Shortage,1
224913,Migration Agent / Immigration Consultant,No shortage,No shortage,1
312913,Mine Deputy,No shortage,No shortage,2
712212,Miner,Regional shortage,Regional shortage,4
233611,Mining Engineer (excluding Petroleum),Shortage,Shortage,1
272211,Minister of Religion,No shortage,No shortage,1
121323,Mixed Cattle and Sheep Farmer,No shortage,No shortage,1
121799,Mixed Production Farmers nec,No shortage,No shortage,1
721999,Mobile Plant Operators nec,No shortage,No shortage,4
552313,Money Market Clerk,No shortage,No shortage,4
411412,Mothercraft Nurse,No shortage,No shortage,2
711912,Motion Picture Projectionist,No shortage,No shortage,4
321211,Motor Mechanic (General),Shortage,Shortage,3
599513,Motor Vehicle Licence Examiner,No shortage,No shortage,4
621311,Motor Vehicle or Caravan Salesperson,No shortage,No shortage,4
899411,Motor Vehicle Parts and Accessories Fitter (General),Shortage,Shortage,4
621312,Motor Vehicle Parts Interpreter / Automotive Parts Salesperson,No shortage,No shortage,4
321213,Motorcycle Mechanic,Shortage,Shortage,3
452214,Mountain or Glacier Guide,No shortage,No shortage,2
232413,Multimedia Designer,No shortage,No shortage,1
261211,Multimedia Specialist,No shortage,No shortage,1
211212,Music Director,No shortage,No shortage,1
211299,Music Professionals nec,No shortage,No shortage,1
249214,Music Teacher (Private Tuition),No shortage,No shortage,1
399515,Musical Instrument Maker or Repairer,No shortage,No shortage,3
211213,Musician (Instrumental),No shortage,No shortage,1
421113,Nanny,No shortage,No shortage,4
234999,Natural and Physical Science Professionals nec,No shortage,No shortage,1
451511,Natural Remedy Consultant,No shortage,No shortage,4
252213,Naturopath,No shortage,No shortage,1
233916,Naval Architect / Marine Designer,Shortage,Shortage,1
263112,Network Administrator,No shortage,No shortage,1
263113,Network Analyst,No shortage,No shortage,1
253318,Neurologist,Shortage,Shortage,1
253513,Neurosurgeon,Shortage,Shortage,1
212412,Newspaper or Periodical Editor,No shortage,No shortage,1
251213,Nuclear Medicine Technologist,Shortage,Shortage,1
254211,Nurse Educator,No shortage,Shortage,1
254311,Nurse Manager,No shortage,No shortage,1
254411,Nurse Practitioner,Shortage,Shortage,1
254212,Nurse Researcher,No shortage,No shortage,1
362411,Nurseryperson,No shortage,No shortage,3
134212,Nursing Clinical Director,No shortage,No shortage,1
423312,Nursing Support Worker,No shortage,No shortage,4
121613,Nut Grower,No shortage,No shortage,1
251112,Nutritionist,No shortage,No shortage,1
253913,Obstetrician and Gynaecologist,Shortage,Shortage,1
251312,Occupational Health and Safety Adviser,No shortage,No shortage,1
252411,Occupational Therapist,Shortage,Shortage,1
