anzsco_code,occupation_title,national_shortage_rating,nsw_rating,vic_rating,qld_rating,sa_rating,wa_rating,tas_rating,nt_rating,act_rating,skill_level,major_occupation_group,classification_system,major_group_code,major_group_label
133411,Manufacturer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133511,Production Manager (Forestry),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133512,Production Manager (Manufacturing),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133513,Production Manager (Mining),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133611,Supply And Distribution Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133612,Procurement Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134111,Child Care Centre Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134211,Medical Administrator / Medical Superintendent,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134212,Nursing Clinical Director,No Shortage,No Shortage,No Shortage,No Shortage,Regional Shortage,Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134213,Primary Health Organisation Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134214,Welfare Centre Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134299,Health And Welfare Services Managers NEC,No Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134311,School Principal,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134411,Faculty Head,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134412,Regional Education Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
134499,Education Managers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
135111,Chief Information Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
135112,ICT Project Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
135199,ICT Managers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
139911,Arts Administrator Or Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
139912,Environmental Manager,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
139913,Laboratory Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
139915,Sports Administrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
139916,Quality Assurance Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
139917,Regulatory Affairs Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
139999,Specialist Managers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
141111,Cafe Or Restaurant Manager,No Shortage,No Shortage,No Shortage,No Shortage,Regional Shortage,No Shortage,Regional Shortage,Shortage,Shortage,2,1,ANZSCO_2022,1,Managers
141211,Caravan Park And Camping Ground Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
141311,Hotel Or Motel Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
141411,Licensed Club Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
141911,Bed And Breakfast Operator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
141912,Retirement Village Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
141999,Accommodation And Hospitality Managers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
142111,Retail Manager (General),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Regional Shortage,Regional Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
142112,Antique Dealer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
142113,Betting Agency Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
142114,Hair Or Beauty Salon Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
142115,Post Office Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
142116,Travel Agency Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149111,Amusement Centre Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149112,Fitness Centre Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149113,Sports Centre Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149211,Call Or Contact Centre Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149212,Customer Service Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149311,Conference And Event Organiser,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149411,Fleet Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149412,Railway Station Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149413,Transport Company Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149911,Boarding Kennel Or Cattery Operator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149912,Cinema Or Theatre Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149913,Facilities Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149914,Financial Institution Branch Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149915,Equipment Hire Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
149999,"Hospitality, Retail And Service Managers NEC",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,1,ANZSCO_2022,1,Managers
211111,Actor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211112,Dancer Or Choreographer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211113,Entertainer Or Variety Artist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211199,"Actors, Dancers And Other Entertainers NEC",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211211,Composer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211212,Music Director,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211213,Musician (Instrumental),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211214,Singer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211299,Music Professionals NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211311,Photographer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,2,ANZSCO_2022,2,Professionals
211411,Painter (Visual Arts),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211412,Potter Or Ceramic Artist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211413,Sculptor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
211499,Visual Arts And Crafts Professionals NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212111,Artistic Director,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212112,Media Producer (Excluding Video),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212113,Radio Presenter,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212114,Television Presenter,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212211,Author,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212212,Book Or Script Editor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212311,"Art Director (Film, Television Or Stage)",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212312,"Director (Film, Television, Radio Or Stage)",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212313,Director Of Photography,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212314,Film And Video Editor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
212315,Program Director (Television Or Radio),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212316,Stage Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212317,Technical Director,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212318,Video Producer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212399,"Film, Television, Radio And Stage Directors NEC",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212411,Copywriter,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212412,Newspaper Or Periodical Editor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212413,Print Journalist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212414,Radio Journalist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212415,Technical Writer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212416,Television Journalist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
212499,Journalists And Other Writers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
221111,Accountant (General),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
221112,Management Accountant,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
221113,Taxation Accountant,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
221211,Company Secretary,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
221212,Corporate Treasurer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
221213,External Auditor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
221214,Internal Auditor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
222111,Commodities Trader,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,2,ANZSCO_2022,2,Professionals
222112,Finance Broker,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,2,ANZSCO_2022,2,Professionals
222113,Insurance Broker,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,2,ANZSCO_2022,2,Professionals
222199,Financial Brokers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,2,ANZSCO_2022,2,Professionals
222211,Financial Market Dealer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
222212,Futures Trader,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
222213,Stockbroking Dealer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
222299,Financial Dealers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
222311,Financial Investment Adviser,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
222312,Financial Investment Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
223111,Human Resource Adviser,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
223112,Recruitment Consultant,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
223113,Workplace Relations Adviser,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
223311,Training And Development Professional,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
224111,Actuary,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
224112,Mathematician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
224114,Data Analyst,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
224115,Data Scientist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
224116,Statistician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
224211,Archivist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
